,mean,max
leather,1.0,1.0
zipper,0.9908088235294118,0.9774159663865547
metal_nut,0.989247311827957,0.9956011730205279
wood,0.987719298245614,0.9921052631578947
pill,0.9923622476813967,0.9639934533551554
transistor,0.9895833333333334,0.9870833333333333
grid,0.9899749373433584,0.9991645781119465
tile,0.9992784992784993,0.996031746031746
capsule,0.9924212205823694,0.9712804148384523
hazelnut,0.9982142857142857,0.9971428571428572
toothbrush,0.9611111111111111,0.8638888888888889
screw,0.9928263988522238,0.9442508710801394
carpet,0.9723113964686999,0.9719101123595505
bottle,0.9976190476190476,0.9944444444444445
cable,0.9917541229385307,0.9390929535232384
